13:18:42.073 (0x0eec) [debug] sacnIsStart:  false
13:18:42.076 (0x0eec) [debug] sacnIsStart:  false
13:18:42.191 (0x0eec) [debug] sacnIsStart:  false
13:18:42.193 (0x0eec) [debug] sacnIsStart:  false
13:18:42.426 (0x0eec) [debug] sacnIsStart:  false
13:18:42.428 (0x0eec) [debug] sacnIsStart:  false
13:18:42.537 (0x0eec) [debug] sacnIsStart:  false
13:18:42.539 (0x0eec) [debug] sacnIsStart:  false
13:18:42.599 (0x0eec) [debug] sacnIsStart:  false
13:18:42.602 (0x0eec) [debug] sacnIsStart:  false
13:18:42.665 (0x0eec) [debug] sacnIsStart:  false
13:18:42.667 (0x0eec) [debug] sacnIsStart:  false
13:18:42.732 (0x0eec) [debug] sacnIsStart:  false
13:18:42.734 (0x0eec) [debug] sacnIsStart:  false
13:18:42.800 (0x0eec) [debug] sacnIsStart:  false
13:18:42.802 (0x0eec) [debug] sacnIsStart:  false
13:18:42.872 (0x0eec) [debug] sacnIsStart:  false
13:18:42.874 (0x0eec) [debug] sacnIsStart:  false
13:18:42.944 (0x0eec) [debug] sacnIsStart:  false
13:18:42.947 (0x0eec) [debug] sacnIsStart:  false
13:18:43.020 (0x0eec) [debug] sacnIsStart:  false
13:18:43.023 (0x0eec) [debug] sacnIsStart:  false
13:18:43.101 (0x0eec) [debug] sacnIsStart:  false
13:18:43.103 (0x0eec) [debug] sacnIsStart:  false
13:18:43.148 (0x0eec) [debug] sacnIsStart:  false
13:18:43.150 (0x0eec) [debug] sacnIsStart:  false
13:18:43.196 (0x0eec) [debug] sacnIsStart:  false
13:18:43.199 (0x0eec) [debug] sacnIsStart:  false
13:18:43.245 (0x0eec) [debug] sacnIsStart:  false
13:18:43.248 (0x0eec) [debug] sacnIsStart:  false
13:18:43.294 (0x0eec) [debug] sacnIsStart:  false
13:18:43.296 (0x0eec) [debug] sacnIsStart:  false
13:18:43.344 (0x0eec) [debug] sacnIsStart:  false
13:18:43.346 (0x0eec) [debug] sacnIsStart:  false
13:18:43.394 (0x0eec) [debug] sacnIsStart:  false
13:18:43.396 (0x0eec) [debug] sacnIsStart:  false
13:18:43.445 (0x0eec) [debug] sacnIsStart:  false
13:18:43.448 (0x0eec) [debug] sacnIsStart:  false
13:18:43.497 (0x0eec) [debug] sacnIsStart:  false
13:18:43.500 (0x0eec) [debug] sacnIsStart:  false
13:18:43.550 (0x0eec) [debug] sacnIsStart:  false
13:18:43.553 (0x0eec) [debug] sacnIsStart:  false
13:18:43.604 (0x0eec) [debug] sacnIsStart:  false
13:18:43.606 (0x0eec) [debug] sacnIsStart:  false
13:18:43.658 (0x0eec) [debug] sacnIsStart:  false
13:18:43.660 (0x0eec) [debug] sacnIsStart:  false
13:18:43.713 (0x0eec) [debug] sacnIsStart:  false
13:18:43.716 (0x0eec) [debug] sacnIsStart:  false
13:18:43.768 (0x0eec) [debug] sacnIsStart:  false
13:18:43.771 (0x0eec) [debug] sacnIsStart:  false
13:18:43.826 (0x0eec) [debug] sacnIsStart:  false
13:18:43.828 (0x0eec) [debug] sacnIsStart:  false
13:18:43.883 (0x0eec) [debug] sacnIsStart:  false
13:18:43.885 (0x0eec) [debug] sacnIsStart:  false
13:18:43.943 (0x0eec) [debug] sacnIsStart:  false
13:18:43.945 (0x0eec) [debug] sacnIsStart:  false
13:18:44.002 (0x0eec) [debug] sacnIsStart:  false
13:18:44.004 (0x0eec) [debug] sacnIsStart:  false
13:18:44.063 (0x0eec) [debug] sacnIsStart:  false
13:18:44.065 (0x0eec) [debug] sacnIsStart:  false
13:18:44.126 (0x0eec) [debug] sacnIsStart:  false
13:18:44.128 (0x0eec) [debug] sacnIsStart:  false
13:18:44.190 (0x0eec) [debug] sacnIsStart:  false
13:18:44.192 (0x0eec) [debug] sacnIsStart:  false
13:18:44.256 (0x0eec) [debug] sacnIsStart:  false
13:18:44.267 (0x0eec) [debug] sacnIsStart:  false
13:18:44.323 (0x0eec) [debug] sacnIsStart:  false
13:18:44.326 (0x0eec) [debug] sacnIsStart:  false
13:18:44.394 (0x0eec) [debug] sacnIsStart:  false
13:18:44.397 (0x0eec) [debug] sacnIsStart:  false
13:18:44.466 (0x0eec) [debug] sacnIsStart:  false
